ticker,company_name,exchange,market_cap,industry
ACB,Ngân hàng Thương mại Cổ phần Á Châu,HOSE,1.22E+14,Ngân hàng
ACG,Công ty Cổ phần Gỗ An Cường,HOSE,5.12E+12,SX Phụ trợ
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,HOSE,3.33E+12,Chứng khoán
ANV,Công ty Cổ phần Nam Việt,HOSE,6.65E+12,Chế biến Thủy sản
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HOSE,3.10E+12,Vận tải - kho bãi
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,HNX,1.21E+13,Ngân hàng
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,HOSE,1.11E+13,Thực phẩm - Đồ uống
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,HOSE,5.75E+13,Bất động sản
BFC,Công ty Cổ phần Phân bón Bình Điền,HOSE,3.73E+12,SX Nhựa - Hóa chất
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HOSE,6.90E+12,Thực phẩm - Đồ uống
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE,4.89E+12,Bảo hiểm
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,HOSE,2.84E+14,Ngân hàng
BMP,Công ty Cổ phần Nhựa Bình Minh,HOSE,1.24E+13,SX Nhựa - Hóa chất
BSI,Công ty Cổ phần Chứng khoán BIDV,HOSE,8.87E+12,Chứng khoán
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,HOSE,1.31E+14,SX Phụ trợ
BVH,Tập đoàn Bảo Việt,HOSE,5.29E+13,Bảo hiểm
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,HOSE,9.61E+12,Tiện ích
CDN,Công ty Cổ phần Cảng Đà Nẵng,HNX,3.07E+12,Vận tải - kho bãi
CEO,Công ty Cổ phần Tập đoàn C.E.O,HNX,9.59E+12,Bất động sản
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,HOSE,1.25E+13,Xây dựng
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,HOSE,6.62E+12,Công nghệ và thông tin
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,HOSE,3.52E+12,Bất động sản
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,HOSE,2.01E+13,Bất động sản
CTD,Công ty Cổ phần Xây dựng Coteccons,HOSE,8.84E+12,Xây dựng
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,HOSE,2.71E+14,Ngân hàng
CTR,Tổng Công ty Cổ phần Công trình Viettel,HOSE,9.85E+12,Công nghệ và thông tin
CTS,Công ty Cổ phần Chứng khoán Vietinbank,HOSE,5.72E+12,Chứng khoán
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,HOSE,8.89E+12,Thực phẩm - Đồ uống
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),HOSE,4.75E+12,Chăm sóc sức khỏe
