ticker,company_name,exchange,market_cap,industry,locked_at,lock_rule
ACB,Ngân hàng Thương mại Cổ phần Á Châu,HOSE,122000000000000.0,Ngân hàng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
ACG,Công ty Cổ phần Gỗ An Cường,HOSE,5120000000000.0,SX Phụ trợ,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,HOSE,3330000000000.0,Chứng khoán,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
ANV,Công ty Cổ phần Nam Việt,HOSE,6650000000000.0,Chế biến Thủy sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,HOSE,3100000000000.0,Vận tải - kho bãi,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BAB,Ngân hàng Thương mại Cổ phần Bắc Á,HNX,12100000000000.0,Ngân hàng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,HOSE,11100000000000.0,Thực phẩm - Đồ uống,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,HOSE,57500000000000.0,Bất động sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BFC,Công ty Cổ phần Phân bón Bình Điền,HOSE,3730000000000.0,SX Nhựa - Hóa chất,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HOSE,6900000000000.0,Thực phẩm - Đồ uống,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,HOSE,4890000000000.0,Bảo hiểm,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,HOSE,284000000000000.0,Ngân hàng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BMP,Công ty Cổ phần Nhựa Bình Minh,HOSE,12400000000000.0,SX Nhựa - Hóa chất,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BSI,Công ty Cổ phần Chứng khoán BIDV,HOSE,8870000000000.0,Chứng khoán,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,HOSE,131000000000000.0,SX Phụ trợ,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BVH,Tập đoàn Bảo Việt,HOSE,52900000000000.0,Bảo hiểm,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,HOSE,9610000000000.0,Tiện ích,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CDN,Công ty Cổ phần Cảng Đà Nẵng,HNX,3070000000000.0,Vận tải - kho bãi,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CEO,Công ty Cổ phần Tập đoàn C.E.O,HNX,9590000000000.0,Bất động sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,HOSE,12500000000000.0,Xây dựng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,HOSE,6620000000000.0,Công nghệ và thông tin,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,HOSE,3520000000000.0,Bất động sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,HOSE,20100000000000.0,Bất động sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CTD,Công ty Cổ phần Xây dựng Coteccons,HOSE,8840000000000.0,Xây dựng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,HOSE,271000000000000.0,Ngân hàng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CTR,Tổng Công ty Cổ phần Công trình Viettel,HOSE,9850000000000.0,Công nghệ và thông tin,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
CTS,Công ty Cổ phần Chứng khoán Vietinbank,HOSE,5720000000000.0,Chứng khoán,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,HOSE,8890000000000.0,Thực phẩm - Đồ uống,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),HOSE,4750000000000.0,Chăm sóc sức khỏe,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,HOSE,23700000000000.0,SX Nhựa - Hóa chất,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,HOSE,20200000000000.0,SX Nhựa - Hóa chất,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DGW,Công ty Cổ phần Thế Giới Số,HOSE,10100000000000.0,Bán buôn,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DHC,Công ty Cổ phần Đông Hải Bến Tre,HOSE,3550000000000.0,SX Phụ trợ,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DHG,Công ty Cổ phần Dược Hậu Giang,HOSE,13000000000000.0,Chăm sóc sức khỏe,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DHT,Công ty Cổ phần Dược phẩm Hà Tây,HNX,6430000000000.0,Chăm sóc sức khỏe,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,HOSE,11300000000000.0,Bất động sản,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,HOSE,5040000000000.0,Xây dựng,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,HOSE,19200000000000.0,SX Nhựa - Hóa chất,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DPR,Công ty Cổ phần Cao su Đồng Phú,HOSE,3540000000000.0,SX Nhựa - Hóa chất,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DSC,Công ty Cổ phần Chứng khoán DSC,HOSE,3580000000000.0,Chứng khoán,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DSE,Công ty Cổ phần Chứng khoán DNSE,HOSE,10100000000000.0,Chứng khoán,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
DTK,Tổng Công ty Điện lực TKV - Công ty Cổ phần,HNX,7720000000000.0,Tiện ích,2026-04-21,Synced from institutional_universe_3T.csv via --sync-universe
