ticker,company_name,exchange,industry,market_cap,universe_order,session_date,close,daily_change_pct,weighted_momentum_score,stock_return_90d,index_return_90d,relative_performance,rs_pct,weighted_momentum_pct,rs_pct_blended,rs_rating,weighted_momentum_rating,latest_rs_rating
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-21,2.460937976837158,,3.483994346786856,-0.3215018363367501,-0.1457219776034634,-0.17577985873328672,0.28205128205128205,0.6153846153846154,0.5153846153846154,52,61,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-22,2.493480920791626,1.322379688589015,7.620357815671097,-0.3047809658771944,-0.12585560946744945,-0.17892535640974494,0.3076923076923077,0.6923076923076923,0.5769230769230769,58,69,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-23,2.4872829914093018,-0.24856534215454973,5.1208757879272815,-0.2843226402928616,-0.125524418635506,-0.15879822165735558,0.38461538461538464,0.6153846153846154,0.5461538461538462,55,61,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-24,2.456686019897461,-1.230136322144204,6.268224050312021,-0.29109973131643385,-0.13079705780395778,-0.16030267351247607,0.3333333333333333,0.5384615384615384,0.47692307692307684,48,54,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-25,2.4329519271850586,-0.9661019975761076,3.540374369973831,-0.2473566682706081,-0.10349975147194668,-0.14385691679866142,0.38461538461538464,0.4358974358974359,0.42051282051282046,42,44,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-26,2.4469830989837646,0.5767138940118821,-1.8269460555756845,-0.26656818869467547,-0.10886952374866288,-0.1576986649460126,0.358974358974359,0.23076923076923078,0.2692307692307692,27,24,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-27,2.427093029022217,-0.8128405124583127,-4.081822032794791,-0.2643739143517373,-0.13171275835635,-0.1326611559953873,0.46153846153846156,0.2564102564102564,0.31794871794871793,32,26,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-28,2.3981869220733643,-1.1909764728094352,-3.126474441266347,-0.2523667524150649,-0.14390267725157402,-0.10846407516349088,0.46153846153846156,0.20512820512820512,0.28205128205128205,29,21,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-29,2.3813960552215576,-0.7001483786464036,-2.9523948657892096,-0.22954557971565626,-0.10389413854528917,-0.12565144117036708,0.41025641025641024,0.15384615384615385,0.23076923076923078,24,16,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-04-30,2.37838101387024,-0.1266081441894773,-3.690046745441311,-0.20766008706193195,-0.0930044087979831,-0.11465567826394885,0.46153846153846156,0.15384615384615385,0.24615384615384617,25,16,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-01,2.346043109893799,-1.35966036509092,-4.963046034689366,-0.13993404774615936,-0.005623389787830391,-0.13431065795832897,0.4358974358974359,0.1794871794871795,0.2564102564102564,26,19,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-02,2.359770059585572,0.5851107182934356,-4.158649434801709,-0.10028318883003517,0.021861861825287265,-0.12214505065532244,0.5384615384615384,0.1282051282051282,0.2512820512820513,26,14,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-03,2.346168041229248,-0.5764128712910654,-6.243374442567551,-0.1326082549286116,-0.0019130947258394482,-0.13069516020277216,0.5384615384615384,0.1282051282051282,0.2512820512820513,26,14,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-04,2.361196994781494,0.6405744724223617,-3.939773496573662,-0.10281194919872905,0.05545633582320342,-0.15826828502193246,0.5128205128205128,0.15384615384615385,0.2615384615384615,27,16,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-05,2.6544759273529053,12.420773583042411,7.75040954851578,0.011609677860173973,0.10829065613925692,-0.09668097827908295,0.6923076923076923,0.8205128205128205,0.7820512820512819,78,81,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-06,3.2072598934173584,20.824598948829042,27.937083158710596,0.43403846873411966,0.2986412623132313,0.13539720642088837,0.8974358974358975,1.0,0.9692307692307691,96,99,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-07,3.0691308975219727,-4.306760302739554,23.687548822450854,0.2258381098150044,0.13400254011420554,0.09183556970079887,0.8461538461538461,1.0,0.9538461538461538,94,99,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-08,3.5908470153808594,16.998822639989775,47.344378642927,0.4382217319427595,0.15739732966234454,0.28082440228041494,0.9743589743589743,1.0,0.9923076923076922,98,99,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-09,3.534571886062622,-1.5671825916612758,47.83268015174356,0.45108212049044694,0.1480065622364528,0.3030755582539941,0.9743589743589743,1.0,0.9923076923076922,98,99,97
ICP-USD,Internet Computer,Crypto,Layer 1,,20,2026-05-10,3.3681459426879883,-4.708517714150274,36.97892142838099,0.3925082279261467,0.1713921069226536,0.2211161210034931,0.9230769230769231,1.0,0.9769230769230769,97,99,97
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-21,0.4582729935646057,,13.075174521456745,-0.23311860913056792,-0.1457219776034634,-0.08739663152710453,0.6153846153846154,0.9487179487179487,0.8487179487179487,84,94,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-22,0.4886359870433807,6.625525375737529,24.554220171460983,-0.17115158744417658,-0.12585560946744945,-0.04529597797672713,0.7435897435897436,0.9743589743589743,0.905128205128205,90,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-23,0.4805270135402679,-1.6595121354401776,19.23260209486033,-0.17939285963666907,-0.125524418635506,-0.05386844100116306,0.717948717948718,0.9743589743589743,0.8974358974358974,89,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-24,0.4756810069084167,-1.0084774623071446,21.75460110894032,-0.1786594594505586,-0.13079705780395778,-0.04786240164660083,0.7435897435897436,0.9743589743589743,0.905128205128205,90,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-25,0.4823839962482452,1.4091353748582724,21.072757951011845,-0.1258831694831064,-0.10349975147194668,-0.022383418011159728,0.7948717948717948,0.9487179487179487,0.9025641025641025,89,94,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-26,0.5100439786911011,5.734017433824956,25.143380557907633,-0.09633646951753772,-0.10886952374866288,0.012533054231125162,0.8461538461538461,0.9743589743589743,0.9358974358974358,93,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-27,0.5059090256690979,-0.8107051930334452,21.087653890512215,-0.11514140909207005,-0.13171275835635,0.016571349264279944,0.8205128205128205,1.0,0.9461538461538461,94,99,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-28,0.5056520104408264,-0.05080265724288768,23.387497263285773,-0.09826889858259102,-0.14390267725157402,0.045633778668982994,0.8974358974358975,0.9743589743589743,0.9512820512820512,94,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-29,0.4969269931316376,-1.7254983919835265,22.459539678494966,-0.05404177077021877,-0.10389413854528917,0.049852367775070405,0.8717948717948718,1.0,0.9615384615384615,95,99,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-04-30,0.4984279870986938,0.3020552289979106,21.438773072759542,-0.03121739848717986,-0.0930044087979831,0.06178701031080325,0.8717948717948718,1.0,0.9615384615384615,95,99,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-01,0.5076220035552979,1.8446027700253387,18.458090000693694,0.07011748634188786,-0.005623389787830391,0.07574087612971825,0.9487179487179487,0.9743589743589743,0.9666666666666666,96,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-02,0.5107430219650269,0.6148311908999116,17.121384211570945,0.10930049120019825,0.021861861825287265,0.08743862937491098,0.8717948717948718,0.9487179487179487,0.9256410256410257,92,94,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-03,0.5151230096817017,0.8575717196924737,15.104326364633547,0.1021338202329225,-0.0019130947258394482,0.10404691495876195,0.8974358974358975,0.9487179487179487,0.9333333333333333,92,94,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-04,0.5235080122947693,1.6277670489324159,18.090767497116154,0.15915496443054744,0.05545633582320342,0.10369862860734402,0.9230769230769231,1.0,0.9769230769230769,97,99,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-05,0.5474110245704651,4.565930552030761,22.6072147277073,0.24944602287413997,0.10829065613925692,0.14115536673488305,0.9743589743589743,1.0,0.9923076923076922,98,99,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-06,0.5516070127487183,0.7665151028965145,19.943513694357804,0.4591388752964871,0.2986412623132313,0.16049761298325582,0.9487179487179487,0.9487179487179487,0.9487179487179487,94,94,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-07,0.5631849765777588,2.098951529159554,22.199817946120426,0.34062299321762546,0.13400254011420554,0.20662045310341992,0.9743589743589743,0.9743589743589743,0.9743589743589742,96,96,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-08,0.5973680019378662,6.069591125783136,29.944836812510054,0.42706501535115127,0.15739732966234454,0.2696676856888067,0.9487179487179487,0.9230769230769231,0.9307692307692308,92,91,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-09,0.5940870046615601,-0.5492422201494818,30.618309208726657,0.4219139173040616,0.1480065622364528,0.27390735506760877,0.9230769230769231,0.9230769230769231,0.9230769230769231,91,91,94
RUNE-USD,THORChain,Crypto,DeFi,,33,2026-05-10,0.6107360124588013,2.802452783279752,32.87897821020012,0.48444791820972966,0.1713921069226536,0.31305581128707605,0.9487179487179487,0.9487179487179487,0.9487179487179487,94,94,94
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-21,3.2650671005249023,,7.262655560564557,-0.29482997260612553,-0.1457219776034634,-0.14910799500266214,0.41025641025641024,0.8717948717948718,0.7333333333333333,73,86,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-22,3.287951946258545,0.7008997067767364,10.20213963681218,-0.2822051211317602,-0.12585560946744945,-0.15634951166431077,0.41025641025641024,0.7948717948717948,0.6794871794871794,68,79,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-23,3.387048959732056,3.0139434849793423,11.138767915291448,-0.25992157821293793,-0.125524418635506,-0.13439715957743192,0.46153846153846156,0.8974358974358975,0.7666666666666666,76,89,88
INJ-USD,Injective,Crypto,DeFi,,28,2026-04-24,3.427454948425293,1.192955554336983,14.637067659616454,-0.24397739387549555,-0.13079705780395778,-0.11318033607153777,0.5128205128205128,0.9230769230769231,0.8,79,91,88
