ticker,exchange,latest_close,last_session,adtv7,history_rows,outstanding_shares,listed_volume,cached_at,shares_reference,market_cap_est,market_cap_pct,adtv7_pct,combined_score,universe_rank,selection_source,selection_logic
HPG,HOSE,28.55,2026-04-21,41450457.14285714,80,7675465855,7675,2026-04-21 21:05:43,7675465855,219134550160.25,0.9906542056074766,0.9984423676012462,0.9945482866043613,1,KBS,50% market_cap_est + 50% 7d_adtv
VPB,HOSE,27.55,2026-04-21,15565057.142857144,80,7933923601,7934,2026-04-21 21:15:42,7933923601,218579595207.55002,0.9890965732087228,0.9875389408099688,0.9883177570093458,2,KBS,50% market_cap_est + 50% 7d_adtv
MBB,HOSE,26.3,2026-04-21,12943200.0,80,8054999909,8055,2026-04-21 21:07:26,8054999909,211846497606.7,0.9875389408099688,0.9828660436137072,0.9852024922118381,3,KBS,50% market_cap_est + 50% 7d_adtv
TCB,HOSE,32.7,2026-04-21,10971214.285714285,80,7086240414,7086,2026-04-21 21:12:52,7086240414,231720061537.80002,0.9922118380062306,0.9750778816199377,0.9836448598130841,4,KBS,50% market_cap_est + 50% 7d_adtv
HDB,HOSE,26.7,2026-04-21,11504800.0,80,5005276323,5005,2026-04-21 21:05:13,5005276323,133640877824.09999,0.9797507788161994,0.9797507788161994,0.9797507788161994,5,KBS,50% market_cap_est + 50% 7d_adtv
SHB,HOSE,15.15,2026-04-21,83643628.57142857,80,4593703838,4594,2026-04-21 21:11:52,4593703838,69594613145.7,0.9579439252336449,1.0,0.9789719626168225,6,KBS,50% market_cap_est + 50% 7d_adtv
BSR,HOSE,26.1,2026-04-21,11274114.285714285,80,5007299686,5007,2026-04-21 21:01:25,5007299686,130690521804.6,0.9781931464174455,0.9781931464174455,0.9781931464174455,7,KBS,50% market_cap_est + 50% 7d_adtv
SSI,HOSE,28.3,2026-04-21,22327171.42857143,80,2491097752,2493,2026-04-21 21:12:29,2491097752,70498066381.6,0.9610591900311527,0.9906542056074766,0.9758566978193146,8,KBS,50% market_cap_est + 50% 7d_adtv
FPT,HOSE,75.1,2026-04-21,9194457.142857144,80,1703507121,1704,2026-04-21 21:04:21,1703507121,127933384787.09999,0.9735202492211839,0.9672897196261683,0.9704049844236761,9,KBS,50% market_cap_est + 50% 7d_adtv
VHM,HOSE,145.8,2026-04-21,6504657.142857143,80,4107412004,4107,2026-04-21 21:15:06,4107412004,598860670183.2001,0.9984423676012462,0.940809968847352,0.969626168224299,10,KBS,50% market_cap_est + 50% 7d_adtv
BID,HOSE,40.4,2026-04-21,5956014.285714285,80,7021361917,7021,2026-04-21 21:01:10,7021361917,283663021446.8,0.9953271028037384,0.9392523364485982,0.9672897196261683,11,KBS,50% market_cap_est + 50% 7d_adtv
VIC,HOSE,193.7,2026-04-21,5348185.714285715,80,7733491896,7706,2026-04-21 21:15:09,7733491896,1497977380255.2,1.0,0.9330218068535826,0.9665109034267914,12,KBS,50% market_cap_est + 50% 7d_adtv
VCB,HOSE,59.6,2026-04-21,5830085.714285715,80,8355675094,8356,2026-04-21 21:14:38,8355675094,497998235602.4,0.9968847352024922,0.9361370716510904,0.9665109034267914,13,KBS,50% market_cap_est + 50% 7d_adtv
NVL,HOSE,17.7,2026-04-21,27819971.42857143,80,2232018549,2232,2026-04-21 21:08:44,2232018549,39506728317.299995,0.9361370716510904,0.9953271028037384,0.9657320872274144,14,KBS,50% market_cap_est + 50% 7d_adtv
ACB,HOSE,23.75,2026-04-21,8711228.57142857,80,5136656599,5137,2026-04-21 21:00:10,5136656599,121995594226.25,0.9688473520249221,0.9595015576323987,0.9641744548286604,15,KBS,50% market_cap_est + 50% 7d_adtv
CTG,HOSE,34.85,2026-04-21,5247542.857142857,80,7766944637,7767,2026-04-21 21:02:39,7766944637,270678020599.45,0.9937694704049844,0.9314641744548287,0.9626168224299065,16,KBS,50% market_cap_est + 50% 7d_adtv
MWG,HOSE,85.6,2026-04-21,7352242.857142857,80,1468423529,1470,2026-04-21 21:07:58,1468423529,125697054082.4,0.9704049844236761,0.9532710280373832,0.9618380062305296,17,KBS,50% market_cap_est + 50% 7d_adtv
EIB,HOSE,22.95,2026-04-21,12885228.57142857,80,1862720607,1869,2026-04-21 21:04:00,1862720607,42749437930.65,0.9392523364485982,0.9813084112149533,0.9602803738317758,18,KBS,50% market_cap_est + 50% 7d_adtv
VRE,HOSE,29.3,2026-04-21,9020471.42857143,80,2272318410,2329,2026-04-21 21:15:55,2272318410,66578929413.0,0.9548286604361371,0.9641744548286605,0.9595015576323989,19,KBS,50% market_cap_est + 50% 7d_adtv
MSN,HOSE,79.0,2026-04-21,6784185.714285715,80,1520491927,1446,2026-04-21 21:07:53,1520491927,120118862233.0,0.9672897196261683,0.9454828660436138,0.956386292834891,20,KBS,50% market_cap_est + 50% 7d_adtv
HCM,HOSE,27.3,2026-04-21,22406585.714285713,80,1079956671,1081,2026-04-21 21:05:09,1079956671,29482817118.3,0.9205607476635514,0.9922118380062306,0.956386292834891,21,KBS,50% market_cap_est + 50% 7d_adtv
POW,HOSE,13.1,2026-04-21,10925528.57142857,80,3067845688,3068,2026-04-21 21:09:58,3067845688,40188778512.799995,0.9376947040498442,0.9735202492211839,0.955607476635514,22,KBS,50% market_cap_est + 50% 7d_adtv
MSB,HOSE,12.45,2026-04-21,11238057.142857144,80,3120000000,3120,2026-04-21 21:07:51,3120000000,38844000000.0,0.9345794392523364,0.9766355140186916,0.955607476635514,23,KBS,50% market_cap_est + 50% 7d_adtv
VIX,HOSE,17.05,2026-04-21,37497657.14285714,80,1531429858,1531,2026-04-21 21:15:18,1531429858,26110879078.9,0.9143302180685359,0.9968847352024922,0.955607476635514,24,KBS,50% market_cap_est + 50% 7d_adtv
STB,HOSE,67.7,2026-04-21,5902042.857142857,80,1885215716,1885,2026-04-21 21:12:32,1885215716,127629103973.20001,0.9719626168224299,0.9376947040498442,0.9548286604361371,25,KBS,50% market_cap_est + 50% 7d_adtv
VIB,HOSE,17.2,2026-04-21,7898271.428571428,80,3404005710,3404,2026-04-21 21:15:07,3404005710,58548898212.0,0.9532710280373832,0.956386292834891,0.9548286604361371,26,KBS,50% market_cap_est + 50% 7d_adtv
GEX,HOSE,40.3,2026-04-21,9247500.0,80,902398948,902,2026-04-21 21:04:34,902398948,36366677604.399994,0.9314641744548287,0.9688473520249221,0.9501557632398754,27,KBS,50% market_cap_est + 50% 7d_adtv
VNM,HOSE,61.6,2026-04-21,3716471.4285714286,80,2089955445,2090,2026-04-21 21:15:35,2089955445,128741255412.0,0.9750778816199377,0.9221183800623053,0.9485981308411215,28,KBS,50% market_cap_est + 50% 7d_adtv
GVR,HOSE,32.65,2026-04-21,3499171.4285714286,80,4000000000,4000,2026-04-21 21:04:51,4000000000,130600000000.0,0.9766355140186916,0.9158878504672897,0.9462616822429907,29,KBS,50% market_cap_est + 50% 7d_adtv
TPB,HOSE,16.25,2026-04-21,6971900.0,80,2774046873,2774,2026-04-21 21:13:58,2774046873,45078261686.25,0.940809968847352,0.9485981308411215,0.9447040498442367,30,KBS,50% market_cap_est + 50% 7d_adtv
VND,HOSE,16.65,2026-04-21,9773485.714285715,80,1522299908,1522,2026-04-21 21:15:28,1522299908,25346293468.199997,0.9112149532710281,0.9704049844236761,0.9408099688473521,31,KBS,50% market_cap_est + 50% 7d_adtv
VCI,HOSE,26.8,2026-04-21,7556285.714285715,80,1147631925,1148,2026-04-21 21:14:44,1147631925,30756535590.0,0.9236760124610592,0.9548286604361371,0.9392523364485982,32,KBS,50% market_cap_est + 50% 7d_adtv
VCK,HOSE,34.0,2026-04-21,4310285.714285715,80,1521825700,1522,2026-04-21 21:14:46,1521825700,51742073800.0,0.9454828660436138,0.926791277258567,0.9361370716510904,33,KBS,50% market_cap_est + 50% 7d_adtv
DXG,HOSE,14.7,2026-04-21,14057314.285714285,80,1112384189,1114,2026-04-21 21:03:52,1112384189,16352047578.3,0.8862928348909658,0.985981308411215,0.9361370716510904,34,KBS,50% market_cap_est + 50% 7d_adtv
SHS,HNX,17.4,2026-04-21,17619400.0,80,899462220,899,2026-04-21 21:12:00,899462220,15650642627.999998,0.8800623052959502,0.9890965732087228,0.9345794392523366,35,KBS,50% market_cap_est + 50% 7d_adtv
CII,HOSE,18.6,2026-04-21,24915928.57142857,80,671985291,672,2026-04-21 21:02:00,671985291,12498926412.6,0.8644859813084113,0.9937694704049844,0.9291277258566979,36,KBS,50% market_cap_est + 50% 7d_adtv
HAG,HOSE,16.35,2026-04-21,6977685.714285715,80,1267399283,1267,2026-04-21 21:04:54,1267399283,20721978277.050003,0.9049844236760125,0.9501557632398754,0.927570093457944,37,KBS,50% market_cap_est + 50% 7d_adtv
KBC,HOSE,34.15,2026-04-21,4174114.285714286,80,941754759,942,2026-04-21 21:06:33,941754759,32160925019.85,0.9283489096573209,0.9252336448598131,0.9267912772585669,38,KBS,50% market_cap_est + 50% 7d_adtv
LPB,HOSE,47.05,2026-04-21,1390400.0,80,2987282100,2987,2026-04-21 21:07:20,2987282100,140551622805.0,0.9813084112149533,0.8707165109034268,0.92601246105919,39,KBS,50% market_cap_est + 50% 7d_adtv
TCH,HOSE,16.7,2026-04-21,10261757.142857144,80,912109224,912,2026-04-21 21:12:55,912109224,15232224040.8,0.8785046728971962,0.9719626168224299,0.9252336448598131,40,KBS,50% market_cap_est + 50% 7d_adtv
GEL,HOSE,32.9,2026-04-21,4333842.857142857,48,890000000,890,2026-04-21 21:04:32,890000000,29281000000.0,0.9190031152647975,0.9283489096573209,0.9236760124610592,41,KBS,50% market_cap_est + 50% 7d_adtv
